Districts,Districts_code,No_qual,Level_1,Level_2,Level_3,Level_4,Others,Total
Adur,E07000223,12936,8063,8324,5655,11122,4479,50579
Allerdale,E07000026,21636,10960,12969,9236,18254,7100,80155
Amber Valley,E07000032,27220,13986,15627,12086,23346,8576,100841
Arun,E07000224,31364,17871,21159,14610,28732,12428,126164
Ashfield,E07000170,30345,15846,15901,11626,14595,8385,96698
Ashford,E07000105,19777,14578,16639,11229,23007,8181,93411
Aylesbury Vale,E07000004,24059,19099,22857,16894,44291,11367,138567
Babergh,E07000200,16367,10385,12560,8337,18539,5633,71821
Barking and Dagenham,E09000002,38396,20904,20617,12759,28715,16222,137613
Barnet,E09000003,43833,27240,34028,28742,113815,34494,282152
Barnsley,E08000016,60890,26913,30550,21342,32724,15916,188335
Barrow-in-Furness,E07000027,14422,7710,8912,7791,10785,7176,56796
Basildon,E07000066,37084,25629,24568,14961,25939,11017,139198
Basingstoke and Deane,E07000084,23226,19647,21918,16902,40793,11461,133947
Bassetlaw,E07000171,26393,13513,15245,10453,18761,8337,92702
Bath and North East Somerset,E06000022,25140,16175,20828,24095,48910,11291,146439
Bedford,E06000055,25645,17313,19129,14882,35417,13485,125871
Bexley,E09000004,42366,31049,32694,21334,40146,16842,184431
Birmingham,E08000025,233835,110158,113967,107913,190335,72155,828363
Blaby,E07000129,16964,11097,12257,9378,18988,7650,76334
Blackburn with Darwen,E06000008,32485,16211,17221,12923,22416,11866,113122
Blackpool,E06000009,36559,18129,19993,13546,18098,10374,116699
Bolsover,E07000033,20455,9520,10195,7064,9853,5105,62192
Bolton,E08000001,57888,31152,34731,26408,48688,20843,219710
Boston,E07000136,17421,7705,8126,4954,8060,7009,53275
Bournemouth,E06000028,29720,20105,24086,24412,40951,15950,155224
Bracknell Forest,E06000036,14639,13755,15191,11389,27197,7572,89743
Bradford,E08000032,110892,56413,59350,45101,87397,40968,400121
Braintree,E07000067,26958,19524,21412,14154,26212,9838,118098
Breckland,E07000143,30057,16104,18149,11917,20046,11234,107507
Brent,E09000005,47721,25718,26967,24163,82619,41270,248458
Brentwood,E07000068,11651,8543,10328,6867,18441,4285,60115
Brighton and Hove,E06000043,36775,25190,28769,36599,84423,17268,229024
"Bristol, City of",E06000023,70478,41487,44592,51006,114621,27469,349653
Broadland,E07000144,23744,15328,18098,12388,24026,10073,103657
Bromley,E09000006,44572,33858,40025,28644,82304,19403,248806
Bromsgrove,E07000234,16413,9875,12191,9056,23551,6021,77107
Broxbourne,E07000095,19122,13262,12871,8401,14394,6800,74850
Broxtowe,E07000172,21031,11721,13547,11046,25678,7915,90938
Burnley,E07000117,20512,10075,11046,8606,13092,6584,69915
Bury,E08000002,33377,20823,25408,18217,37989,12121,147935
Calderdale,E08000033,38943,22314,26507,20079,40881,14921,163645
Cambridge,E07000008,12606,7294,9159,17943,50169,8836,106007
Camden,E09000007,23451,12556,14454,22340,93453,18619,184873
Cannock Chase,E07000192,22278,12884,14034,10021,13606,6204,79027
Canterbury,E07000106,25778,14824,18056,22117,34385,10811,125971
Carlisle,E07000028,22164,13199,14560,11177,19766,8176,89042
Castle Point,E07000069,21885,13177,12997,7780,10693,6610,73142
Central Bedfordshire,E06000056,39644,30583,34714,25869,55793,17999,204602
Charnwood,E07000130,28265,16740,19685,23470,36916,12802,137878
Chelmsford,E07000070,25844,20510,23744,17085,39452,10368,137003
Cheltenham,E07000078,15904,10906,13778,13216,34782,7422,96008
Cherwell,E07000177,22331,17202,17949,13210,31830,10900,113422
Cheshire East,E06000049,59806,36823,48576,37854,97248,24067,304374
Cheshire West and Chester,E06000050,56940,36010,42655,35042,79712,21114,271473
Chesterfield,E07000034,23618,12252,14567,10342,17994,6822,85595
Chichester,E07000225,18566,11035,15164,12149,30820,7427,95161
Chiltern,E07000005,10864,7858,11150,8143,30179,5485,73679
Chorley,E07000118,18594,11760,14210,11052,24361,7555,87532
Christchurch,E07000048,9421,5509,6718,4556,10132,3953,40289
City of London,E09000001,454,291,445,484,4618,463,6755
Colchester,E07000071,27440,20294,23629,19572,38412,12080,141427
Copeland,E07000029,15800,8335,9178,7289,12307,5704,58613
Corby,E07000150,13439,8405,8330,5393,7254,5816,48637
Cornwall,E06000052,99237,59206,76782,57917,110518,38672,442332
Cotswold,E07000079,12758,8865,10957,8225,23267,5066,69138
County Durham,E06000047,116948,57032,67905,57957,91249,34167,425258
Coventry,E08000026,60799,33782,35777,36184,58566,28998,254106
Craven,E07000163,9356,5418,7263,5655,14663,3806,46161
Crawley,E07000226,16995,15257,14427,9555,18214,10101,84549
Croydon,E09000008,50081,39285,43299,32498,90321,28784,284268
Dacorum,E07000096,21768,17067,18714,13410,35872,9152,115983
Darlington,E06000005,21179,11445,13568,10883,20244,8038,85357
Dartford,E07000107,16334,13410,14036,8930,17053,7579,77342
Daventry,E07000151,11918,9337,10742,7416,18158,5460,63031
Derby,E06000015,47731,26294,28681,25838,47955,21577,198076
Derbyshire Dales,E07000035,12773,7088,8870,6572,19816,4180,59299
Doncaster,E08000017,74119,37763,41607,26126,41714,23580,244909
Dover,E07000108,22885,13376,15941,11049,20071,8060,91382
Dudley,E08000027,75980,36286,42371,30056,48584,20144,253421
Ealing,E09000009,44366,26592,28237,25887,99836,44654,269572
